Modelo,Técnica,Acurácia Balanceada,G-Mean,F1 Score,Precisão,Sensibilidade
Random Forest,Subamostragem Aleatória,0.7117 ± 0.0035,0.7067 ± 0.0040,0.5349 ± 0.0051,0.4658 ± 0.0100,0.6284 ± 0.0120
XGBoost,Subamostragem Aleatória,0.7102 ± 0.0041,0.7054 ± 0.0041,0.5324 ± 0.0062,0.4621 ± 0.0104,0.6283 ± 0.0093
Perceptron Multicamadas,Subamostragem Aleatória,0.7045 ± 0.0046,0.6983 ± 0.0056,0.5259 ± 0.0062,0.4611 ± 0.0122,0.6128 ± 0.0164
Random Forest,SMOTE Tomek,0.7029 ± 0.0042,0.6908 ± 0.0054,0.5301 ± 0.0057,0.4932 ± 0.0073,0.5732 ± 0.0110
Random Forest,SMOTE,0.7020 ± 0.0050,0.6896 ± 0.0065,0.5290 ± 0.0068,0.4930 ± 0.0087,0.5710 ± 0.0134
Máquina de Vetores de Suporte,SVM Custo-Sensível,0.7010 ± 0.0060,0.6939 ± 0.0060,0.5212 ± 0.0131,0.4573 ± 0.0413,0.6148 ± 0.0495
Máquina de Vetores de Suporte,Subamostragem Aleatória,0.7004 ± 0.0062,0.6867 ± 0.0080,0.5276 ± 0.0084,0.4966 ± 0.0074,0.5629 ± 0.0153
Máquina de Vetores de Suporte,SMOTE Tomek,0.7002 ± 0.0047,0.6893 ± 0.0060,0.5246 ± 0.0062,0.4806 ± 0.0072,0.5778 ± 0.0128
Máquina de Vetores de Suporte,SMOTE,0.7000 ± 0.0047,0.6892 ± 0.0060,0.5245 ± 0.0062,0.4806 ± 0.0073,0.5775 ± 0.0128
XGBoost,SMOTE Tomek,0.6991 ± 0.0043,0.6835 ± 0.0054,0.5273 ± 0.0064,0.5045 ± 0.0108,0.5526 ± 0.0111
XGBoost,SMOTE,0.6987 ± 0.0056,0.6831 ± 0.0073,0.5267 ± 0.0080,0.5039 ± 0.0089,0.5519 ± 0.0136
Perceptron Multicamadas,SMOTE,0.6972 ± 0.0048,0.6940 ± 0.0052,0.5119 ± 0.0065,0.4301 ± 0.0121,0.6331 ± 0.0175
Perceptron Multicamadas,SMOTE Tomek,0.6950 ± 0.0062,0.6912 ± 0.0069,0.5099 ± 0.0082,0.4314 ± 0.0132,0.6244 ± 0.0205
Máquina de Vetores de Suporte,Meta Cost,0.6868 ± 0.0038,0.6665 ± 0.0137,0.5101 ± 0.0074,0.5017 ± 0.0529,0.5286 ± 0.0530
Perceptron Multicamadas,Meta Cost,0.6581 ± 0.0138,0.5956 ± 0.0354,0.4703 ± 0.0178,0.6335 ± 0.0808,0.3923 ± 0.0986
Perceptron Multicamadas,Linha de Base,0.6542 ± 0.0077,0.5852 ± 0.0147,0.4666 ± 0.0149,0.6573 ± 0.0158,0.3623 ± 0.0199
Random Forest,Linha de Base,0.6520 ± 0.0047,0.5795 ± 0.0081,0.4628 ± 0.0095,0.6714 ± 0.0112,0.3532 ± 0.0102
Random Forest,Meta Cost,0.6513 ± 0.0042,0.5782 ± 0.0070,0.4614 ± 0.0085,0.6716 ± 0.0117,0.3515 ± 0.0087
XGBoost,Linha de Base,0.6512 ± 0.0085,0.5763 ± 0.0169,0.4609 ± 0.0172,0.6829 ± 0.0146,0.3486 ± 0.0223
XGBoost,Meta Cost,0.6495 ± 0.0083,0.5728 ± 0.0164,0.4576 ± 0.0169,0.6863 ± 0.0133,0.3438 ± 0.0213
Máquina de Vetores de Suporte,Linha de Base,0.6247 ± 0.0048,0.5243 ± 0.0093,0.4041 ± 0.0109,0.6942 ± 0.0125,0.2852 ± 0.0104
